NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.39523,0.99735,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.79289,0.92556,NaN,0.18234,0.39523,0.3658,0.0982,0.30148,0.91391,0.31337,0.85666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27904,1,NaN,0.44385,0.70602,0.65346,0.82416,0.82416,0.41081,0.39523,0.1562,0.79289,0.23904,0.074907,0.074907,0.0982,0.0070768,0.040342,0.23484,0.0060624,0.014197,0.024399,0.18953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.92556,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.85666,0.27904,0.7628,0.9983,0.99904,0.85666,0.92556,0.79289,0.23904,0.3658,NaN,0.41081,0.62867,0.20477,0.65346,0.60482,0.18234,0.22997,0.017226,0.074907,0.06417,1,1,0.12874,0.045305,0.024399,0.015944,0.05088,0.043586,0.14457,0.048949,0.074907,0.023474,0.12874,0.048949,0.22997,0.013659,0.077861,0.012642,0.059393,0.13909,0.15028,0.029605,0.60482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.094474,0.017906,0.11463,0.29004,0.26845,0.11028,0.18234,0.27904,0.16877,0.05714,0.12385,0.069331,0.14457,0.048949,0.047092,0.052886,0.36195,1,1,0.34094,0.11463,0.09089,0.01083,0.017226,0.074907,0.0048068,0.0079475,0.027401,0.027401,0.013659,0.0068083,0.035922,0.013659,0.19701,0.077861,0.99887,1,1,0.1625,0.0096432,0.0096432,0.11463,0.0042802,0.061735,0.029605,0.040342,0.027401,0.020902,0.12385,0.0053982,0.027401,0.016573,0.048949,0.11915,0.040342,0.077861,0.014197,0.018612,0.040342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.92556,0.030773,0.038811,0.029605,0.037339,0.18953,0.20477,0.023474,0.11463,0.040342,0.11463,0.040342,0.069331,0.05088,0.20477,0.037339,0.25826,1,1,1,0.077861,0.059393,0.015339,0.16877,0.029605,0.024399,0.11463,0.0982,0.024399,0.037339,0.034559,0.038811,0.024399,0.06417,0.077861,0.026362,0.9994,1,1,0.11915,0.040342,0.11028,0.018612,0.074907,0.021726,0.016573,0.010419,0.034559,0.012162,0.00655,0.0058324,0.13381,0.080932,0.034559,0.3244,0.043586,0.18234,0.031986,0.15028,0.18234,0.55979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18953,0.048949,0.066701,0.013659,0.01083,0.0032649,0.0096432,0.029605,0.011257,0.010419,0.030773,0.0027969,0.0039616,0.0079475,0.035922,0.033248,0.06417,0.99999,NaN,0.83544,0.0056111,0.038811,0.05714,0.048949,0.094474,0.014757,0.059393,0.052886,0.045305,0.061735,0.035922,0.028482,0.11028,0.059393,0.0048068,0.017906,0.041933,1,NaN,0.30148,0.080932,0.066701,0.047092,0.072065,0.069331,0.17542,0.025362,0.038811,0.05088,0.037339,0.061735,0.0982,0.30148,0.059393,0.20477,0.030773,0.88412,0.025362,0.015944,0.011701,0.01083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.70602,0.027401,0.017906,0.048949,0.080932,0.16877,0.16236,0.3658,0.13381,0.072065,0.18234,0.31337,0.35192,0.26845,0.15028,0.05714,0.05714,0.21285,NaN,NaN,0.33857,0.072065,0.0068083,0.041933,0.045305,0.061735,0.11915,0.022583,0.11028,0.041933,0.025362,0.15028,0.077861,0.024399,0.069331,0.080932,0.037339,0.13381,0.46136,NaN,0.1061,0.059393,0.045305,0.020902,0.069331,0.12874,0.014757,0.06417,0.094474,0.05714,0.18234,0.30148,0.65346,0.027401,0.17542,0.020109,0.09089,0.15028,0.059393,0.015944,0.16877,0.30148,0.31337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32573,0.17542,0.29004,0.1562,0.048949,0.031986,0.01314,0.028482,0.033248,0.014197,0.047092,0.038811,0.19701,0.035922,0.016573,0.13381,0.054972,0.30148,NaN,0.7628,0.21285,0.26845,0.14457,0.061735,0.061735,0.054972,0.0982,0.24847,0.0089254,0.025362,0.21285,0.028482,0.26845,0.11915,0.034559,0.084124,0.24847,0.077861,0.47955,NaN,0.05088,0.072065,0.20477,0.12874,0.27904,0.05714,0.1061,0.11028,0.029605,0.0982,0.061735,0.012162,0.038811,0.066701,0.021726,0.022583,0.19701,0.35192,0.054972,0.22997,0.031986,0.011701,0.029605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.55979,0.048949,0.072065,0.00655,0.12385,0.1061,0.18234,0.11463,0.037339,0.16236,0.074907,0.18234,0.017226,0.028482,0.20477,0.19701,0.038811,0.066701,0.70602,NaN,0.24847,0.087441,0.020902,0.084124,0.047092,0.10207,0.11915,0.030773,0.020109,0.11463,0.11028,0.028482,0.045305,0.026362,0.087441,0.072065,0.087441,0.027401,0.15028,0.46136,NaN,0.084124,0.021726,0.01083,0.0982,0.014757,0.0089254,0.059393,0.041933,0.018612,0.047092,0.24847,0.040342,0.23904,0.0982,0.087441,0.084124,0.027401,0.16877,0.069331,0.031986,0.1562,0.16236,0.18953,0.30148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
